school_id,country,school_name,homepage_url,seed_kind,source
US00120,usa,South Dakota State University Brookings,https://collegedunia.com/usa/university/1060-south-dakota-state-university-brookings,school_homepage,usa_master_923_backfill
US00121,usa,Pratt Institute Brooklyn,https://collegedunia.com/usa/university/1064-pratt-institute-brooklyn,school_homepage,usa_master_923_backfill
US00122,usa,New York City College Of Technology Brooklyn,https://collegedunia.com/usa/college/1066-new-york-city-college-of-technology-brooklyn,school_homepage,usa_master_923_backfill
US00123,usa,Long Island University Brooklyn,https://collegedunia.com/usa/university/1067-long-island-university-brooklyn,school_homepage,usa_master_923_backfill
US00124,usa,Long Island University Post Greenvale,https://collegedunia.com/usa/college/1068-long-island-university-post-greenvale,school_homepage,usa_master_923_backfill
US00125,usa,University Of Texas Rio Grande Valley Edinburg,https://collegedunia.com/usa/university/1069-university-of-texas---rio-grande-valley-edinburg,school_homepage,usa_master_923_backfill
US00126,usa,Bowdoin College Brunswick,https://collegedunia.com/usa/college/1070-bowdoin-college-brunswick,school_homepage,usa_master_923_backfill
US00127,usa,Bryn Mawr College Bryn Mawr,https://collegedunia.com/usa/college/1072-bryn-mawr-college-bryn-mawr,school_homepage,usa_master_923_backfill
US00128,usa,Southern Virginia University Buena Vista,https://collegedunia.com/usa/college/1073-southern-virginia-university-buena-vista,school_homepage,usa_master_923_backfill
US00129,usa,Buffalo State Buffalo,https://collegedunia.com/usa/college/1074-buffalo-state-buffalo,school_homepage,new_vs_265
US00130,usa,Niagara University Niagara University,https://collegedunia.com/usa/university/1076-niagara-university-niagara-university,school_homepage,usa_master_923_backfill
US00131,usa,Dyouville College Buffalo,https://collegedunia.com/usa/college/1077-dyouville-college-buffalo,school_homepage,usa_master_923_backfill
US00132,usa,University At Buffalo Buffalo,https://collegedunia.com/usa/university/1078-university-at-buffalo-buffalo,school_homepage,new_vs_265
US00133,usa,Campbell University Buies Creek,https://collegedunia.com/usa/university/1079-campbell-university-buies-creek,school_homepage,usa_master_923_backfill
US00134,usa,University Of Vermont Burlington,https://collegedunia.com/usa/university/1081-university-of-vermont-burlington,school_homepage,usa_master_923_backfill
US00135,usa,Champlain College Burlington,https://collegedunia.com/usa/college/1082-champlain-college-burlington,school_homepage,usa_master_923_backfill
US00136,usa,Slippery Rock University Slippery Rock,https://collegedunia.com/usa/university/1083-slippery-rock-university-slippery-rock,school_homepage,usa_master_923_backfill
US00137,usa,Montana Tech Butte,https://collegedunia.com/usa/university/1084-montana-tech-butte,school_homepage,usa_master_923_backfill
